player_id,name,team,age,games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,fg3_pct,ft_pct,plus_minus,off_rating,def_rating,net_rating,ts_pct,eff_fg_pct,usage,ast_pct,reb_pct,pie,games_missed_est,availability_pct,updated_at
1626166,Cameron Payne,NYK,30.0,72,15.1,6.9,1.4,2.8,0.5,0.2,0.7,0.401,0.363,0.907,2.8,116.6,107.5,9.1,0.532,0.506,0.2,0.251,0.047,0.089,0,144.0,2026-01-28T16:47:17.846577
1627747,Caris LeVert,ATL,30.0,64,24.9,12.1,3.2,3.4,0.9,0.5,1.2,0.467,0.373,0.71,4.0,120.5,113.4,7.2,0.582,0.556,0.191,0.178,0.062,0.094,0,128.0,2026-01-28T16:47:17.846577
1641717,Cason Wallace,OKC,21.0,68,27.6,8.4,3.4,2.5,1.8,0.5,0.9,0.474,0.356,0.811,5.4,117.2,107.1,10.1,0.562,0.55,0.124,0.117,0.057,0.075,0,136.0,2026-01-28T16:47:17.846577
1629646,Charles Bassey,SAS,24.0,36,10.4,4.4,4.2,0.5,0.4,0.8,0.6,0.581,0.0,0.636,-3.6,101.6,117.5,-15.9,0.597,0.581,0.164,0.072,0.185,0.113,14,72.0,2026-01-28T16:47:17.846577
1631096,Chet Holmgren,OKC,23.0,32,27.4,15.0,8.0,2.0,0.7,2.2,1.8,0.49,0.379,0.754,9.2,121.7,105.6,16.1,0.599,0.554,0.214,0.091,0.136,0.122,18,64.0,2026-01-28T16:47:17.846577
1628449,Chris Boucher,TOR,32.0,50,17.2,10.0,4.5,0.7,0.5,0.5,0.6,0.492,0.363,0.782,0.1,113.3,113.5,-0.2,0.615,0.586,0.208,0.057,0.125,0.126,0,100.0,2026-01-28T16:47:17.846577
1630537,Chris Duarte,CHI,28.0,17,4.4,2.1,1.2,0.5,0.0,0.0,0.1,0.462,0.4,0.75,0.7,105.2,102.4,2.8,0.61,0.577,0.151,0.173,0.115,0.127,33,34.0,2026-01-28T16:47:17.846577
1641753,Chris Livingston,MIL,21.0,21,5.0,1.4,1.7,0.2,0.2,0.0,0.3,0.333,0.0,0.75,-1.4,89.6,102.2,-12.6,0.441,0.333,0.15,0.078,0.148,0.099,29,42.0,2026-01-28T16:47:17.846577
101108,Chris Paul,SAS,40.0,82,28.0,8.8,3.6,7.4,1.3,0.3,1.6,0.427,0.377,0.924,0.0,114.2,115.0,-0.8,0.58,0.547,0.137,0.342,0.062,0.102,0,164.0,2026-01-28T16:47:17.846577
1631128,Christian Braun,DEN,24.0,79,33.9,15.4,5.2,2.6,1.1,0.5,1.0,0.58,0.397,0.827,6.1,122.7,114.5,8.2,0.665,0.634,0.155,0.096,0.077,0.096,0,158.0,2026-01-28T16:47:17.846577
1631132,Christian Koloko,LAL,25.0,37,9.2,2.4,2.5,0.4,0.2,0.4,0.3,0.606,0.0,0.714,-0.2,104.7,106.0,-1.3,0.624,0.606,0.104,0.068,0.129,0.082,13,74.0,2026-01-28T16:47:17.846577
1629643,Chuma Okeke,CLE,26.0,9,21.9,5.9,5.2,1.7,0.6,0.4,0.3,0.5,0.393,0.667,-3.1,115.8,122.1,-6.3,0.641,0.638,0.093,0.101,0.118,0.089,41,18.0,2026-01-28T16:47:17.846577
203991,Clint Capela,ATL,31.0,55,21.4,8.9,8.5,1.1,0.6,1.0,0.9,0.559,0.0,0.536,-1.4,108.7,111.5,-2.7,0.564,0.559,0.16,0.073,0.183,0.117,0,110.0,2026-01-28T16:47:17.846577
1629632,Coby White,CHI,25.0,74,33.1,20.4,3.7,4.5,0.9,0.2,2.4,0.453,0.37,0.902,-1.9,111.5,113.9,-2.5,0.601,0.55,0.237,0.197,0.053,0.103,0,148.0,2026-01-28T16:47:17.846577
1628998,Cody Martin,PHX,29.0,53,22.1,6.8,4.2,2.0,1.1,0.6,1.0,0.418,0.285,0.705,-2.0,108.1,111.3,-3.2,0.509,0.485,0.142,0.128,0.088,0.08,0,106.0,2026-01-28T16:47:17.846577
1642262,Cody Williams,UTA,20.0,50,21.2,4.6,2.3,1.2,0.5,0.3,0.9,0.323,0.259,0.725,-6.8,103.0,118.5,-15.5,0.419,0.391,0.122,0.078,0.049,0.021,0,100.0,2026-01-28T16:47:17.846577
1641732,Colby Jones,WAS,23.0,39,13.2,4.0,2.2,1.1,0.7,0.3,0.6,0.457,0.327,0.657,-2.9,104.4,114.8,-10.4,0.544,0.519,0.138,0.123,0.08,0.078,11,78.0,2026-01-28T16:47:17.846577
1630175,Cole Anthony,MEM,25.0,67,18.4,9.4,3.0,2.9,0.7,0.5,1.5,0.424,0.353,0.823,-0.2,107.7,109.0,-1.2,0.531,0.494,0.238,0.253,0.08,0.105,0,134.0,2026-01-28T16:47:17.846577
